,cab,chp,cm,cw,fcov,fmc,lai,landcover,band_0_blue,band_1_green,band_2_red,band_3_nir
0,83.08,1.88999999,0.0192,0.004,0.4,20.833333333333336,1.42669978,forest,0.04949506344456371,0.07522111514159917,0.08931240553941432,0.250316328531921
1,83.08,1.88999999,0.0192,0.004,0.6,20.833333333333336,1.42669978,forest,0.04034883132658395,0.06220793475257216,0.06880145654970138,0.2558496039300668
2,83.08,1.88999999,0.0192,0.004,0.8,20.833333333333336,1.42669978,forest,0.03255392951504125,0.051183214794537586,0.050884535191454514,0.2643699746961901
3,83.08,1.88999999,0.0192,0.004,1.0,20.833333333333336,1.42669978,forest,0.027245164615393024,0.043817716011603926,0.037740691646184446,0.27838648585340736
4,83.08,1.88999999,0.0192,0.004,0.4,20.833333333333336,1.23237228,forest,0.05080331692055265,0.07714305963517905,0.09216274104109919,0.24972833724933644
5,83.08,1.88999999,0.0192,0.004,0.6,20.833333333333336,1.23237228,forest,0.04218421193648154,0.06490041179525483,0.07283193009685031,0.2546010502775618
6,83.08,1.88999999,0.0192,0.004,0.8,20.833333333333336,1.23237228,forest,0.03479535044743443,0.05446596915343151,0.05586275932861511,0.2621125524095719
7,83.08,1.88999999,0.0192,0.004,1.0,20.833333333333336,1.23237228,forest,0.029670797917457643,0.04735795434832822,0.04323892555564213,0.27447954714507966
8,83.08,1.88999999,0.0192,0.004,0.4,20.833333333333336,1.05526548,forest,0.05226367842527511,0.0792767935665133,0.09535307303585303,0.24915420267055835
9,83.08,1.88999999,0.0192,0.004,0.6,20.833333333333336,1.05526548,forest,0.044244373494155394,0.06790678679548212,0.0773667499552111,0.2533883865927709
10,83.08,1.88999999,0.0192,0.004,0.8,20.833333333333336,1.05526548,forest,0.03733169433177269,0.05816035597789017,0.06150375307149727,0.2599277387773694
11,83.08,1.88999999,0.0192,0.004,1.0,20.833333333333336,1.05526548,forest,0.032455111105380845,0.05140084673367881,0.049547776654342554,0.27070824315726644
12,83.08,1.88999999,0.0192,0.004,0.4,20.833333333333336,0.89257421,forest,0.05388164079826064,0.08162851031024225,0.09889624607085967,0.24860166513592055
13,83.08,1.88999999,0.0192,0.004,0.6,20.833333333333336,0.89257421,forest,0.04653810825476006,0.07123658305508623,0.08242506812868981,0.25222216827651356
14,83.08,1.88999999,0.0192,0.004,0.8,20.833333333333336,0.89257421,forest,0.0401744229772829,0.06227964881888872,0.06783376901358107,0.2578273065204498
15,83.08,1.88999999,0.0192,0.004,1.0,20.833333333333336,0.89257421,forest,0.03561429563877648,0.05596381472012124,0.05670168670781002,0.26708369068438637
16,83.08,1.88999999,0.0192,0.004,0.4,20.833333333333336,0.74212736,forest,0.05566249056673398,0.08420373615767288,0.10280381549264186,0.2480761916104122
17,83.08,1.88999999,0.0192,0.004,0.6,20.833333333333336,0.74212736,forest,0.04907326825576363,0.0748977251415395,0.08802485775403494,0.2511094826285563
18,83.08,1.88999999,0.0192,0.004,0.8,20.833333333333336,0.74212736,forest,0.043335125043418764,0.066835839999567,0.07487747732469985,0.25581891904884635
19,83.08,1.88999999,0.0192,0.004,1.0,20.833333333333336,0.74212736,forest,0.039161990725175434,0.06106264172279948,0.06473247632746841,0.26361278500860846
20,83.08,1.88999999,0.0192,0.004,0.4,20.833333333333336,0.60221019,forest,0.057611477976077685,0.08700749059510526,0.1070870543285662,0.2475813511980981
21,83.08,1.88999999,0.0192,0.004,0.6,20.833333333333336,0.60221019,forest,0.0518580572236761,0.07889871265032283,0.09418343350071748,0.2500546230532788
22,83.08,1.88999999,0.0192,0.004,0.8,20.833333333333336,0.60221019,forest,0.04682371593500595,0.07183977406986503,0.08265837567535952,0.25390765159103384
23,83.08,1.88999999,0.0192,0.004,1.0,20.833333333333336,0.60221019,forest,0.04311271421783237,0.06671219196141946,0.07366995269497623,0.260298963685327
24,83.08,1.88999999,0.0192,0.004,0.4,20.833333333333336,1.42669978,forest,0.036912220843117495,0.05633126330589168,0.06510703764302546,0.19885195542912082
25,83.08,1.88999999,0.0192,0.004,0.6,20.833333333333336,1.42669978,forest,0.03130402976443436,0.04855500611750426,0.05139283533401599,0.21342665913549283
26,83.08,1.88999999,0.0192,0.004,0.8,20.833333333333336,1.42669978,forest,0.026655761893714925,0.042191751334674614,0.03952113972781848,0.23020031502564087
27,83.08,1.88999999,0.0192,0.004,1.0,20.833333333333336,1.42669978,forest,0.023772866076914336,0.0384283532702488,0.031040359908106434,0.2510202189313073
28,83.08,1.88999999,0.0192,0.004,0.4,20.833333333333336,1.23237228,forest,0.03774157176467478,0.057526004664200325,0.0670339200828266,0.19637919000017054
29,83.08,1.88999999,0.0192,0.004,0.6,20.833333333333336,1.23237228,forest,0.03245793310230324,0.05021230559991454,0.05410921156989943,0.20945697619205061
30,83.08,1.88999999,0.0192,0.004,0.8,20.833333333333336,1.23237228,forest,0.02804797609781755,0.044183220507577885,0.042862319088062394,0.22448657383279713
31,83.08,1.88999999,0.0192,0.004,1.0,20.833333333333336,1.23237228,forest,0.02524624140912991,0.040518153209111986,0.0347025234883095,0.2431071849143752
32,83.08,1.88999999,0.0192,0.004,0.4,20.833333333333336,1.05526548,forest,0.03866425879391208,0.0588474112424887,0.06918800134038504,0.19389720496712315
33,83.08,1.88999999,0.0192,0.004,0.6,20.833333333333336,1.05526548,forest,0.033749334712107344,0.052056450442357606,0.05716258868637418,0.2054828392545023
34,83.08,1.88999999,0.0192,0.004,0.8,20.833333333333336,1.05526548,forest,0.029620430081786296,0.04641930671993116,0.04664590707005266,0.2187813861672198
35,83.08,1.88999999,0.0192,0.004,1.0,20.833333333333336,1.05526548,forest,0.026938002619185938,0.04290515375695233,0.03890526455920954,0.23523214924703076
36,83.08,1.88999999,0.0192,0.004,0.4,20.833333333333336,0.89257421,forest,0.0396837072876132,0.06029890726381537,0.07157833029793408,0.19141878532722287
37,83.08,1.88999999,0.0192,0.004,0.6,20.833333333333336,0.89257421,forest,0.035183739168043356,0.0540932364919599,0.060566018178185126,0.20152242830899778
