ID,FMC,VEGTYPE,red_630_690,nir1_780_900,blue_450_520,green_530_610,nir2_1230_1250,swir1_1550_1750,swir2_2090_2350
1,391.7,grass,0.06,0.3726,0.0359,0.1008,0.3764,0.2681,0.1258
2,385.7,grass,0.0618,0.3604,0.0375,0.1028,0.3413,0.2142,0.0912
3,381.4,grass,0.0616,0.3551,0.0369,0.1005,0.3392,0.2151,0.0936
4,380.0,grass,0.0645,0.3604,0.039,0.1043,0.348,0.2263,0.1011
5,380.0,grass,0.0668,0.3725,0.0413,0.1097,0.3616,0.2403,0.1082
6,373.3,grass,0.0482,0.3421,0.0282,0.0819,0.3424,0.2298,0.0977
7,372.0,grass,0.0583,0.3596,0.0342,0.096,0.3695,0.2677,0.1268
8,368.8,grass,0.0571,0.3568,0.0337,0.0953,0.3553,0.2411,0.1072
9,361.5,grass,0.0695,0.3742,0.0425,0.1109,0.3825,0.2808,0.1393
10,361.4,grass,0.0566,0.3413,0.0331,0.0921,0.331,0.2114,0.0913
11,360.0,grass,0.0525,0.3449,0.031,0.0908,0.3266,0.1996,0.0793
12,359.5,grass,0.0627,0.3594,0.0381,0.1042,0.3452,0.2217,0.0952
13,357.9,grass,0.0547,0.358,0.0317,0.0908,0.3785,0.2912,0.1455
14,356.7,grass,0.0542,0.3439,0.0313,0.0881,0.3517,0.2467,0.1122
15,354.8,grass,0.0683,0.3729,0.0422,0.1114,0.3725,0.2618,0.1232
16,354.2,grass,0.0649,0.3753,0.0394,0.1067,0.3845,0.2841,0.1398
17,353.5,grass,0.0635,0.3492,0.0377,0.1014,0.3426,0.2264,0.1015
18,350.0,grass,0.0513,0.3389,0.0301,0.0875,0.3231,0.1986,0.08
19,348.6,grass,0.0543,0.3356,0.0311,0.0871,0.3414,0.2352,0.1053
20,346.2,grass,0.0659,0.3664,0.0404,0.1074,0.3568,0.2369,0.1066
21,345.9,grass,0.0633,0.3752,0.0393,0.1082,0.3608,0.2358,0.1016
22,345.5,grass,0.0652,0.3807,0.04,0.1092,0.3911,0.2946,0.1475
23,345.5,grass,0.0546,0.3414,0.0315,0.0881,0.3476,0.2412,0.109
24,343.6,grass,0.0555,0.3323,0.0318,0.0876,0.3363,0.2286,0.1028
25,342.9,grass,0.052000000000000005,0.3306,0.0301,0.0841,0.3276,0.2137,0.092
26,342.9,grass,0.07400000000000001,0.3712,0.0454,0.1142,0.3828,0.2849,0.145
27,340.0,grass,0.0516,0.3549,0.0308,0.0913,0.3396,0.2134,0.0854
28,332.4,grass,0.0677,0.3609,0.0411,0.10800000000000001,0.361,0.2507,0.1171
29,332.0,grass,0.0596,0.3327,0.0345,0.0934,0.3279,0.2143,0.0959
30,328.3,grass,0.0695,0.3619,0.043,0.111,0.3501,0.23,0.1039
31,327.8,grass,0.0662,0.3534,0.0393,0.1041,0.3597,0.2553,0.1213
32,327.5,grass,0.0529,0.3332,0.0309,0.0871,0.3195,0.198,0.0826
33,326.9,grass,0.0542,0.3407,0.031,0.0871,0.3597,0.26899999999999996,0.129
34,326.9,grass,0.055999999999999994,0.3376,0.0329,0.0919,0.3232,0.2014,0.085
35,326.8,grass,0.0566,0.36200000000000004,0.0342,0.0985,0.34700000000000003,0.2213,0.0912
36,325.6,grass,0.0584,0.3609,0.0351,0.0995,0.3518,0.2314,0.099
37,325.0,grass,0.053,0.3407,0.0312,0.0897,0.3265,0.2034,0.0831
38,325.0,grass,0.0498,0.3359,0.0295,0.0863,0.3156,0.1885,0.0734
39,320.0,grass,0.07400000000000001,0.3763,0.0452,0.1146,0.4002,0.321,0.1762
40,320.0,grass,0.0673,0.3363,0.0393,0.1014,0.3385,0.2316,0.1098
41,320.0,grass,0.0584,0.3687,0.0348,0.0987,0.3788,0.2788,0.1334
42,318.9,grass,0.0571,0.3385,0.0329,0.0916,0.34600000000000003,0.2421,0.1101
43,318.9,grass,0.0558,0.3411,0.0323,0.0904,0.3459,0.2386,0.107
44,317.1,grass,0.0617,0.3475,0.0363,0.0981,0.3485,0.2381,0.1089
45,317.0,grass,0.0733,0.3506,0.0446,0.1115,0.3507,0.2423,0.1158
46,315.1,grass,0.0471,0.3254,0.0278,0.0805,0.3083,0.1846,0.07200000000000001
47,313.6,grass,0.0704,0.35700000000000004,0.0412,0.1062,0.3867,0.3125,0.1704
48,312.9,grass,0.0614,0.3789,0.0378,0.1062,0.3755,0.2612,0.1182
49,312.8,grass,0.0645,0.3428,0.0374,0.099,0.3531,0.2521,0.1208
50,312.2,grass,0.0485,0.3489,0.0289,0.087,0.3363,0.2124,0.0837
51,310.8,grass,0.0666,0.376,0.0415,0.1107,0.3683,0.2499,0.1132
52,310.2,grass,0.0652,0.3443,0.0387,0.102,0.341,0.2283,0.1043
53,310.0,grass,0.0569,0.3454,0.0328,0.0933,0.3595,0.264,0.1242
54,309.5,grass,0.0694,0.3683,0.0416,0.1089,0.3925,0.3135,0.1688
55,309.3,grass,0.0716,0.359,0.0439,0.1115,0.3581,0.2476,0.1172
56,309.1,grass,0.0589,0.3478,0.0343,0.0964,0.3583,0.2586,0.1203
57,309.1,grass,0.068,0.3756,0.0415,0.1106,0.3937,0.308,0.1615
58,308.8,grass,0.0671,0.3749,0.0416,0.1106,0.3733,0.2612,0.1216
59,308.0,grass,0.0538,0.3324,0.0305,0.0838,0.3578,0.2754,0.1358
