,cab,chp,cm,cw,fcov,fmc,lai,landcover,Band0,Band1,Band2,Band3,Band4,Band5,Band6
0,83.08,1.88999999,0.0192,0.004,0.4,20.833333333333336,1.42669978,forest,0.08642054026414879,0.26624330044282796,0.044424797531437556,0.07581505724404722,0.33039081312095864,0.3072165752801133,0.20536459188609532
1,83.08,1.88999999,0.0192,0.004,0.6,20.833333333333336,1.42669978,forest,0.06665573589967647,0.27080738254570413,0.03642082149666292,0.063530908147399,0.32155332013968496,0.2799210698175543,0.16556163402366375
2,83.08,1.88999999,0.0192,0.004,0.8,20.833333333333336,1.42669978,forest,0.04939934446290475,0.27849609169759065,0.02962357323536991,0.05321012140649544,0.31679666726648914,0.25775765307360315,0.1309699051038023
3,83.08,1.88999999,0.0192,0.004,1.0,20.833333333333336,1.42669978,forest,0.03675860368469225,0.29193282211313476,0.02504733010963838,0.04650332614721893,0.3195487787793617,0.2450376960833104,0.1059656130206582
4,83.08,1.88999999,0.0192,0.004,0.4,20.833333333333336,1.23237228,forest,0.08916703256995107,0.26584793012924196,0.04557190490621287,0.07766012513554123,0.33296455171245504,0.3131203169208789,0.2116828997083122
5,83.08,1.88999999,0.0192,0.004,0.6,20.833333333333336,1.23237228,forest,0.07053860981169925,0.269826502012851,0.03802849653846158,0.06610967664536788,0.32488149037686753,0.28814460708049855,0.17450173965808205
6,83.08,1.88999999,0.0192,0.004,0.8,20.833333333333336,1.23237228,forest,0.054194155008372345,0.2765606931795343,0.03158389938306386,0.05634373583032552,0.32037349927057257,0.2677011475114521,0.14202105825708475
7,83.08,1.88999999,0.0192,0.004,1.0,20.833333333333336,1.23237228,forest,0.04205197526299086,0.2883653682383704,0.027162354053797823,0.0498618460591184,0.3224436101303447,0.25559668463753826,0.11818872582365378
8,83.08,1.88999999,0.0192,0.004,0.4,20.833333333333336,1.05526548,forest,0.09224119437663714,0.26547512852022037,0.04685265983202226,0.07970387660615325,0.33555761905895587,0.319212980550221,0.218585461022854
9,83.08,1.88999999,0.0192,0.004,0.6,20.833333333333336,1.05526548,forest,0.07490771293970729,0.2688966301707118,0.039833059409581956,0.06898257051206692,0.32826595514482715,0.2966734367516354,0.18431481628036112
10,83.08,1.88999999,0.0192,0.004,0.8,20.833333333333336,1.05526548,forest,0.0596277838099699,0.27472163371760266,0.03380243889360368,0.059863221445923265,0.32407040786967806,0.27808647987583135,0.154230537646274
