ID	B1	B2	B3	B4	B5	B6	B7	NDII
1	0.0600	0.3726	0.0359	0.1008	0.3764	0.2681	0.1258	0.163
2	0.0618	0.3604	0.0375	0.1028	0.3413	0.2142	0.0912	0.254
3	0.0616	0.3551	0.0369	0.1005	0.3392	0.2151	0.0936	0.246
4	0.0645	0.3604	0.0390	0.1043	0.3480	0.2263	0.1011	0.229
5	0.0668	0.3725	0.0413	0.1097	0.3616	0.2403	0.1082	0.216
6	0.0482	0.3421	0.0282	0.0819	0.3424	0.2298	0.0977	0.196
7	0.0583	0.3596	0.0342	0.0960	0.3695	0.2677	0.1268	0.147
8	0.0571	0.3568	0.0337	0.0953	0.3553	0.2411	0.1072	0.194
9	0.0695	0.3742	0.0425	0.1109	0.3825	0.2808	0.1393	0.143
10	0.0566	0.3413	0.0331	0.0921	0.3310	0.2114	0.0913	0.235
11	0.0525	0.3449	0.0310	0.0908	0.3266	0.1996	0.0793	0.267
12	0.0627	0.3594	0.0381	0.1042	0.3452	0.2217	0.0952	0.237
13	0.0547	0.3580	0.0317	0.0908	0.3785	0.2912	0.1455	0.103
14	0.0542	0.3439	0.0313	0.0881	0.3517	0.2467	0.1122	0.165
15	0.0683	0.3729	0.0422	0.1114	0.3725	0.2618	0.1232	0.175
16	0.0649	0.3753	0.0394	0.1067	0.3845	0.2841	0.1398	0.138
17	0.0635	0.3492	0.0377	0.1014	0.3426	0.2264	0.1015	0.213
18	0.0513	0.3389	0.0301	0.0875	0.3231	0.1986	0.0800	0.261
19	0.0543	0.3356	0.0311	0.0871	0.3414	0.2352	0.1053	0.176
20	0.0659	0.3664	0.0404	0.1074	0.3568	0.2369	0.1066	0.215
21	0.0633	0.3752	0.0393	0.1082	0.3608	0.2358	0.1016	0.228
22	0.0652	0.3807	0.0400	0.1092	0.3911	0.2946	0.1475	0.127
23	0.0546	0.3414	0.0315	0.0881	0.3476	0.2412	0.1090	0.172
24	0.0555	0.3323	0.0318	0.0876	0.3363	0.2286	0.1028	0.185
25	0.0520	0.3306	0.0301	0.0841	0.3276	0.2137	0.0920	0.215
26	0.0740	0.3712	0.0454	0.1142	0.3828	0.2849	0.1450	0.132
27	0.0516	0.3549	0.0308	0.0913	0.3396	0.2134	0.0854	0.249
28	0.0677	0.3609	0.0411	0.1080	0.3610	0.2507	0.1171	0.180
29	0.0596	0.3327	0.0345	0.0934	0.3279	0.2143	0.0959	0.216
30	0.0695	0.3619	0.0430	0.1110	0.3501	0.2300	0.1039	0.223
31	0.0662	0.3534	0.0393	0.1041	0.3597	0.2553	0.1213	0.161
32	0.0529	0.3332	0.0309	0.0871	0.3195	0.1980	0.0826	0.255
33	0.0542	0.3407	0.0310	0.0871	0.3597	0.2690	0.1290	0.118
34	0.0560	0.3376	0.0329	0.0919	0.3232	0.2014	0.0850	0.253
35	0.0566	0.3620	0.0342	0.0985	0.3470	0.2213	0.0912	0.241
36	0.0584	0.3609	0.0351	0.0995	0.3518	0.2314	0.0990	0.219
37	0.0530	0.3407	0.0312	0.0897	0.3265	0.2034	0.0831	0.252
38	0.0498	0.3359	0.0295	0.0863	0.3156	0.1885	0.0734	0.281
39	0.0740	0.3763	0.0452	0.1146	0.4002	0.3210	0.1762	0.079
40	0.0673	0.3363	0.0393	0.1014	0.3385	0.2316	0.1098	0.184
41	0.0584	0.3687	0.0348	0.0987	0.3788	0.2788	0.1334	0.139
42	0.0571	0.3385	0.0329	0.0916	0.3460	0.2421	0.1101	0.166
43	0.0558	0.3411	0.0323	0.0904	0.3459	0.2386	0.1070	0.177
44	0.0617	0.3475	0.0363	0.0981	0.3485	0.2381	0.1089	0.187
45	0.0733	0.3506	0.0446	0.1115	0.3507	0.2423	0.1158	0.183
46	0.0471	0.3254	0.0278	0.0805	0.3083	0.1846	0.0720	0.276
47	0.0704	0.3570	0.0412	0.1062	0.3867	0.3125	0.1704	0.066
48	0.0614	0.3789	0.0378	0.1062	0.3755	0.2612	0.1182	0.184
49	0.0645	0.3428	0.0374	0.0990	0.3531	0.2521	0.1208	0.152
